subcity,bedrooms,bathrooms,area_sqm,has_water_tank,has_generator,is_furnished,description_text,rent_price_etb
Bole,4,2,117.5,0,0,0,"Apartment with 4 bedrooms in Bole, now available. 118 square metres, well laid out. Well maintained apartment. Quiet neighbourhood with good access to transport.",51000.0
Gulele,1,1,58.9,1,0,1,1-bedroom unit in Gulele for long-term rental. About 59 square metres of living space. Features a private water tank. Furnished and ready to move in. Quiet neighbourhood with good access to transport.,21000.0
Kirkos,2,1,54.5,1,0,0,"Apartment with 2 bedrooms in Kirkos, now available. 54 square metres, well laid out. Features a private water tank. Well maintained and secure.",25000.0
Kirkos,3,2,106.6,0,0,1,3-bedroom apartment in Kirkos available for rent. About 107 square metres of living space. Furnished and ready to move in. Close to schools and markets.,49500.0
Yeka,5,2,150.0,0,1,1,"Apartment with 5 bedrooms in Yeka, now available. About 150 square metres of living space. Comes with a backup generator. Furnished and ready to move in. Well maintained and secure.",64000.0
Nifas Silk,3,1,117.9,1,0,1,Rent a 3-bedroom home located in Nifas Silk. About 118 square metres of living space. Features a private water tank. Furnished and ready to move in. Quiet neighbourhood with good access to transport.,43500.0
Kirkos,3,2,85.4,0,0,0,"3-bedroom unit in Kirkos for long-term rental. 85 square metres, well laid out. Well maintained apartment. Quiet neighbourhood with good access to transport.",36500.0
Bole,1,1,77.9,1,0,0,1-bedroom apartment in Bole available for rent. Floor space of 78 square metres. Features a private water tank. Ideal for families or professionals.,31500.0
Bole,4,3,139.8,1,0,0,"Rent a 4-bedroom home located in Bole. 140 square metres, well laid out. Features a private water tank. Quiet neighbourhood with good access to transport.",61500.0
Addis Ketema,2,1,101.0,0,0,1,"2-bedroom apartment in Addis Ketema available for rent. 101 square metres, well laid out. Furnished and ready to move in. Close to schools and markets.",30500.0
Akaky Kaliti,1,1,63.4,1,0,0,1-bedroom apartment in Akaky Kaliti available for rent. Floor space of 63 square metres. Features a private water tank. Well maintained and secure.,17000.0
Gulele,5,3,164.2,0,0,0,"5-bedroom apartment in Gulele available for rent. 164 square metres, well laid out. Well maintained apartment. Quiet neighbourhood with good access to transport.",51500.0
Yeka,1,1,46.3,0,1,0,"Apartment with 1 bedrooms in Yeka, now available. Floor space of 46 square metres. Comes with a backup generator. Well maintained and secure.",18500.0
Addis Ketema,1,1,72.6,0,1,1,1-bedroom apartment in Addis Ketema available for rent. About 73 square metres of living space. Comes with a backup generator. Furnished and ready to move in. Well maintained and secure.,24000.0
Kolfe,1,1,54.7,0,1,0,1-bedroom unit in Kolfe for long-term rental. Floor space of 55 square metres. Comes with a backup generator. Close to schools and markets.,18000.0
Gulele,3,1,88.2,1,0,1,Rent a 3-bedroom home located in Gulele. About 88 square metres of living space. Features a private water tank. Furnished and ready to move in. Ideal for families or professionals.,34000.0
Kirkos,1,1,50.5,0,0,0,"1-bedroom unit in Kirkos for long-term rental. 50 square metres, well laid out. Well maintained apartment. Well maintained and secure.",19500.0
Yeka,5,3,152.1,0,0,0,Rent a 5-bedroom home located in Yeka. Floor space of 152 square metres. Well maintained apartment. Well maintained and secure.,55000.0
Bole,3,2,98.1,0,0,0,"Apartment with 3 bedrooms in Bole, now available. 98 square metres, well laid out. Well maintained apartment. Well maintained and secure.",42500.0
Akaky Kaliti,2,1,90.5,1,1,0,2-bedroom apartment in Akaky Kaliti available for rent. About 90 square metres of living space. Features a private water tank. Comes with a backup generator. Well maintained and secure.,27000.0
Arada,1,1,42.3,1,0,0,"1-bedroom unit in Arada for long-term rental. 42 square metres, well laid out. Features a private water tank. Well maintained and secure.",18000.0
Yeka,3,2,82.5,1,0,0,"Apartment with 3 bedrooms in Yeka, now available. 82 square metres, well laid out. Features a private water tank. Close to schools and markets.",32500.0
Yeka,1,1,80.5,1,0,1,1-bedroom apartment in Yeka available for rent. About 80 square metres of living space. Features a private water tank. Furnished and ready to move in. Ideal for families or professionals.,30500.0
Nifas Silk,5,3,162.8,1,0,0,"Apartment with 5 bedrooms in Nifas Silk, now available. About 163 square metres of living space. Features a private water tank. Ideal for families or professionals.",55500.0
Bole,2,1,73.4,0,1,1,2-bedroom apartment in Bole available for rent. About 73 square metres of living space. Comes with a backup generator. Furnished and ready to move in. Ideal for families or professionals.,38000.0
Lidetta,3,2,108.0,1,0,1,3-bedroom unit in Lidetta for long-term rental. About 108 square metres of living space. Features a private water tank. Furnished and ready to move in. Quiet neighbourhood with good access to transport.,38500.0
Kolfe,1,1,76.2,1,0,0,"Rent a 1-bedroom home located in Kolfe. 76 square metres, well laid out. Features a private water tank. Well maintained and secure.",21500.0
Gulele,1,1,69.0,1,0,0,"Apartment with 1 bedrooms in Gulele, now available. About 69 square metres of living space. Features a private water tank. Close to schools and markets.",20500.0
Kirkos,2,1,87.8,1,0,0,"2-bedroom apartment in Kirkos available for rent. 88 square metres, well laid out. Features a private water tank. Close to schools and markets.",35500.0
Nifas Silk,1,1,77.1,0,0,0,"Apartment with 1 bedrooms in Nifas Silk, now available. 77 square metres, well laid out. Well maintained apartment. Close to schools and markets.",22000.0
Nifas Silk,4,2,121.2,1,1,1,"Apartment with 4 bedrooms in Nifas Silk, now available. 121 square metres, well laid out. Features a private water tank. Comes with a backup generator. Furnished and ready to move in. Well maintained and secure.",51500.0
Nifas Silk,5,3,152.4,1,0,0,"Apartment with 5 bedrooms in Nifas Silk, now available. Floor space of 152 square metres. Features a private water tank. Well maintained and secure.",53000.0
Bole,5,3,151.8,1,0,1,Rent a 5-bedroom home located in Bole. About 152 square metres of living space. Features a private water tank. Furnished and ready to move in. Ideal for families or professionals.,78000.0
Kirkos,2,1,82.7,0,0,0,"2-bedroom apartment in Kirkos available for rent. 83 square metres, well laid out. Well maintained apartment. Ideal for families or professionals.",32000.0
Bole,4,2,125.3,0,1,0,4-bedroom unit in Bole for long-term rental. Floor space of 125 square metres. Comes with a backup generator. Ideal for families or professionals.,56500.0
Arada,3,2,108.9,0,0,0,"3-bedroom apartment in Arada available for rent. 109 square metres, well laid out. Well maintained apartment. Well maintained and secure.",41500.0
Kirkos,1,1,64.4,0,0,0,Rent a 1-bedroom home located in Kirkos. Floor space of 64 square metres. Well maintained apartment. Close to schools and markets.,24000.0
Bole,1,1,51.4,0,0,0,"Apartment with 1 bedrooms in Bole, now available. Floor space of 51 square metres. Well maintained apartment. Close to schools and markets.",21000.0
Bole,3,2,117.6,0,0,0,"3-bedroom unit in Bole for long-term rental. 118 square metres, well laid out. Well maintained apartment. Quiet neighbourhood with good access to transport.",49000.0
Nifas Silk,3,3,96.3,0,0,1,3-bedroom unit in Nifas Silk for long-term rental. About 96 square metres of living space. Furnished and ready to move in. Well maintained and secure.,38500.0
Bole,1,1,61.4,0,0,0,"Apartment with 1 bedrooms in Bole, now available. About 61 square metres of living space. Well maintained apartment. Quiet neighbourhood with good access to transport.",24500.0
Akaky Kaliti,5,3,148.5,1,0,1,"5-bedroom unit in Akaky Kaliti for long-term rental. 148 square metres, well laid out. Features a private water tank. Furnished and ready to move in. Quiet neighbourhood with good access to transport.",51500.0
Nifas Silk,4,2,134.3,0,1,0,"Apartment with 4 bedrooms in Nifas Silk, now available. About 134 square metres of living space. Comes with a backup generator. Well maintained and secure.",46000.0
Kirkos,3,2,82.6,0,0,0,"Rent a 3-bedroom home located in Kirkos. 83 square metres, well laid out. Well maintained apartment. Well maintained and secure.",35500.0
Nifas Silk,5,3,162.7,1,0,0,"Rent a 5-bedroom home located in Nifas Silk. 163 square metres, well laid out. Features a private water tank. Ideal for families or professionals.",55500.0
Bole,5,3,143.9,0,0,0,5-bedroom apartment in Bole available for rent. Floor space of 144 square metres. Well maintained apartment. Close to schools and markets.,63500.0
Addis Ketema,5,3,166.6,0,0,0,Rent a 5-bedroom home located in Addis Ketema. About 167 square metres of living space. Well maintained apartment. Quiet neighbourhood with good access to transport.,49000.0
Arada,2,2,80.3,1,0,0,"Rent a 2-bedroom home located in Arada. 80 square metres, well laid out. Features a private water tank. Ideal for families or professionals.",32500.0
Kolfe,5,3,151.4,0,0,0,5-bedroom unit in Kolfe for long-term rental. About 151 square metres of living space. Well maintained apartment. Ideal for families or professionals.,47000.0
Bole,3,1,131.0,0,0,0,3-bedroom unit in Bole for long-term rental. Floor space of 131 square metres. Well maintained apartment. Quiet neighbourhood with good access to transport.,52500.0
Arada,4,3,126.7,0,0,0,4-bedroom apartment in Arada available for rent. About 127 square metres of living space. Well maintained apartment. Close to schools and markets.,50500.0
Arada,5,3,166.9,0,0,0,5-bedroom apartment in Arada available for rent. About 167 square metres of living space. Well maintained apartment. Close to schools and markets.,64500.0
Akaky Kaliti,1,1,64.5,0,0,0,"Apartment with 1 bedrooms in Akaky Kaliti, now available. 64 square metres, well laid out. Well maintained apartment. Quiet neighbourhood with good access to transport.",15500.0
Nifas Silk,3,2,113.0,1,0,1,"Apartment with 3 bedrooms in Nifas Silk, now available. About 113 square metres of living space. Features a private water tank. Furnished and ready to move in. Well maintained and secure.",43500.0
Arada,1,1,64.8,0,0,0,"1-bedroom apartment in Arada available for rent. 65 square metres, well laid out. Well maintained apartment. Ideal for families or professionals.",23000.0
Yeka,2,1,96.2,1,1,1,"Rent a 2-bedroom home located in Yeka. 96 square metres, well laid out. Features a private water tank. Comes with a backup generator. Furnished and ready to move in. Quiet neighbourhood with good access to transport.",41000.0
Kirkos,3,2,99.8,0,0,1,3-bedroom unit in Kirkos for long-term rental. Floor space of 100 square metres. Furnished and ready to move in. Well maintained and secure.,47000.0
Arada,5,3,140.2,0,0,0,"Rent a 5-bedroom home located in Arada. 140 square metres, well laid out. Well maintained apartment. Ideal for families or professionals.",56500.0
Kirkos,5,3,144.3,0,0,0,Rent a 5-bedroom home located in Kirkos. Floor space of 144 square metres. Well maintained apartment. Ideal for families or professionals.,61000.0
Bole,2,1,87.2,1,0,1,Rent a 2-bedroom home located in Bole. About 87 square metres of living space. Features a private water tank. Furnished and ready to move in. Ideal for families or professionals.,42500.0
Kolfe,2,1,83.4,0,0,0,Rent a 2-bedroom home located in Kolfe. Floor space of 83 square metres. Well maintained apartment. Close to schools and markets.,23500.0
Akaky Kaliti,3,2,116.5,0,1,0,"3-bedroom apartment in Akaky Kaliti available for rent. 116 square metres, well laid out. Comes with a backup generator. Close to schools and markets.",33500.0
Bole,5,3,167.7,0,0,0,"5-bedroom apartment in Bole available for rent. 168 square metres, well laid out. Well maintained apartment. Quiet neighbourhood with good access to transport.",71500.0
Arada,5,3,140.3,1,0,1,"5-bedroom apartment in Arada available for rent. 140 square metres, well laid out. Features a private water tank. Furnished and ready to move in. Quiet neighbourhood with good access to transport.",67500.0
Bole,2,1,77.2,0,0,1,Rent a 2-bedroom home located in Bole. About 77 square metres of living space. Furnished and ready to move in. Quiet neighbourhood with good access to transport.,36500.0
Gulele,1,1,46.8,1,0,1,"1-bedroom apartment in Gulele available for rent. 47 square metres, well laid out. Features a private water tank. Furnished and ready to move in. Quiet neighbourhood with good access to transport.",18000.0
Yeka,4,3,154.4,1,0,0,4-bedroom unit in Yeka for long-term rental. About 154 square metres of living space. Features a private water tank. Close to schools and markets.,55000.0
Nifas Silk,2,2,89.7,1,0,0,2-bedroom unit in Nifas Silk for long-term rental. Floor space of 90 square metres. Features a private water tank. Close to schools and markets.,30000.0
Gulele,1,1,69.8,0,0,1,"Rent a 1-bedroom home located in Gulele. 70 square metres, well laid out. Furnished and ready to move in. Quiet neighbourhood with good access to transport.",22000.0
Kolfe,1,1,47.9,1,0,0,"Apartment with 1 bedrooms in Kolfe, now available. 48 square metres, well laid out. Features a private water tank. Well maintained and secure.",15500.0
Bole,3,1,108.0,0,1,1,"Rent a 3-bedroom home located in Bole. 108 square metres, well laid out. Comes with a backup generator. Furnished and ready to move in. Close to schools and markets.",54000.0
Akaky Kaliti,2,2,92.1,0,0,0,"2-bedroom unit in Akaky Kaliti for long-term rental. 92 square metres, well laid out. Well maintained apartment. Well maintained and secure.",24500.0
Yeka,3,1,105.0,1,0,0,"3-bedroom unit in Yeka for long-term rental. 105 square metres, well laid out. Features a private water tank. Quiet neighbourhood with good access to transport.",37500.0
Bole,2,2,98.9,1,0,1,2-bedroom unit in Bole for long-term rental. About 99 square metres of living space. Features a private water tank. Furnished and ready to move in. Well maintained and secure.,48500.0
Arada,4,2,157.7,0,0,1,Rent a 4-bedroom home located in Arada. About 158 square metres of living space. Furnished and ready to move in. Ideal for families or professionals.,67500.0
Kirkos,4,3,118.6,0,1,0,4-bedroom apartment in Kirkos available for rent. Floor space of 119 square metres. Comes with a backup generator. Ideal for families or professionals.,53000.0
Kolfe,3,2,95.7,1,0,1,Rent a 3-bedroom home located in Kolfe. About 96 square metres of living space. Features a private water tank. Furnished and ready to move in. Well maintained and secure.,36000.0
Kolfe,1,1,53.5,1,1,1,"1-bedroom apartment in Kolfe available for rent. 54 square metres, well laid out. Features a private water tank. Comes with a backup generator. Furnished and ready to move in. Quiet neighbourhood with good access to transport.",22000.0
Yeka,3,2,127.3,0,0,0,3-bedroom apartment in Yeka available for rent. About 127 square metres of living space. Well maintained apartment. Ideal for families or professionals.,42500.0
