price,subcity,bedrooms,bathrooms,area_sqm
50500.0,arada,4,3,126.7
64500.0,arada,5,3,166.9
23000.0,arada,1,1,64.8
41000.0,yeka,2,1,96.2
47000.0,kirkos,3,2,99.8
56500.0,arada,5,3,140.2
61000.0,kirkos,5,3,144.3
42500.0,bole,2,1,87.2
23500.0,kolfe,2,1,83.4
33500.0,akaky kaliti,3,2,116.5
71500.0,bole,5,3,167.7
67500.0,arada,5,3,140.3
36500.0,bole,2,1,77.2
18000.0,gulele,1,1,46.8
55000.0,yeka,4,3,154.4
30000.0,nifas silk,2,2,89.7
22000.0,gulele,1,1,69.8
54000.0,bole,3,1,108.0
24500.0,akaky kaliti,2,2,92.1
37500.0,yeka,3,1,105.0
48500.0,bole,2,2,98.9
67500.0,arada,4,2,157.7
53000.0,kirkos,4,3,118.6
36000.0,kolfe,3,2,95.7
22000.0,kolfe,1,1,53.5
42500.0,yeka,3,2,127.3
41500.0,addis ketema,4,3,142.5
33500.0,yeka,2,2,84.4
33500.0,arada,2,1,86.4
37000.0,yeka,3,2,98.2
44000.0,bole,3,2,103.4
42000.0,bole,2,1,82.9
35500.0,kirkos,2,1,93.3
39000.0,addis ketema,4,2,127.7
31000.0,akaky kaliti,3,2,105.2
37500.0,gulele,3,2,108.1
40500.0,akaky kaliti,4,3,139.5
27500.0,akaky kaliti,2,1,105.8
30000.0,gulele,3,1,99.5
38000.0,kirkos,2,1,93.8
37500.0,bole,2,1,88.1
56500.0,yeka,5,3,148.1
27000.0,yeka,2,1,79.9
62500.0,bole,4,3,147.8
18000.0,lidetta,1,1,69.8
54000.0,bole,3,2,124.5
47000.0,bole,3,2,111.2
37000.0,nifas silk,3,2,109.0
14500.0,lidetta,1,1,52.8
65000.0,yeka,5,3,152.1
35000.0,yeka,2,1,86.2
40000.0,kolfe,4,2,113.6
38500.0,addis ketema,4,2,123.5
30000.0,arada,2,1,82.1
31000.0,bole,1,1,69.0
43500.0,bole,2,2,91.5
63000.0,yeka,5,3,145.0
78500.0,bole,5,3,157.6
55500.0,gulele,5,3,149.8
24500.0,bole,2,2,51.6
22500.0,gulele,1,1,76.9
42000.0,nifas silk,4,2,109.8
42500.0,yeka,3,2,109.4
44500.0,kolfe,4,3,149.0
44000.0,gulele,4,2,120.9
50500.0,gulele,5,3,152.0
50500.0,bole,2,1,105.5
32500.0,akaky kaliti,3,1,107.0
24000.0,kirkos,1,1,64.6
26500.0,yeka,1,1,80.3
46500.0,arada,3,2,115.9
48000.0,gulele,5,3,141.5
30500.0,addis ketema,3,3,100.2
56500.0,yeka,4,2,135.9
16500.0,akaky kaliti,1,1,56.5
42500.0,bole,3,2,82.6
50000.0,arada,4,2,129.4
24000.0,nifas silk,2,1,68.2
28500.0,bole,1,1,66.1
74000.0,kirkos,5,3,141.1
37500.0,addis ketema,4,3,121.6
29000.0,nifas silk,2,1,63.3
21000.0,akaky kaliti,2,1,72.8
68000.0,arada,5,3,178.8
24000.0,kolfe,1,1,72.7
56000.0,bole,4,3,128.9
38500.0,bole,2,2,80.8
61000.0,yeka,5,2,149.7
35000.0,arada,1,1,89.4
32000.0,nifas silk,2,1,102.7
24500.0,nifas silk,2,1,78.0
23000.0,kirkos,1,1,56.0
73000.0,kirkos,5,2,151.0
41000.0,kirkos,2,1,85.3
21000.0,lidetta,2,1,73.1
60000.0,arada,5,2,154.7
30500.0,yeka,2,1,93.4
30000.0,yeka,2,1,86.0
29500.0,gulele,2,1,87.3
23000.0,kolfe,2,1,73.5
25500.0,bole,1,1,65.3
19500.0,nifas silk,1,1,67.9
42500.0,bole,2,1,92.8
30500.0,kolfe,2,1,103.0
39500.0,yeka,2,2,97.2
55500.0,bole,4,2,130.9
33000.0,akaky kaliti,3,2,93.9
75500.0,bole,5,3,144.8
29500.0,yeka,2,1,83.4
77500.0,bole,5,3,155.0
23000.0,bole,1,1,58.3
51500.0,bole,4,3,115.7
45000.0,bole,3,2,88.2
65500.0,bole,5,3,149.2
17000.0,gulele,1,1,52.0
20500.0,yeka,1,1,48.0
53500.0,arada,4,2,134.6
49000.0,bole,3,1,102.8
58500.0,yeka,5,3,158.4
20000.0,yeka,1,1,55.4
22000.0,nifas silk,1,1,78.4
57500.0,kirkos,4,3,140.6
59000.0,bole,4,3,137.2
67000.0,kirkos,5,3,163.1
49500.0,arada,4,2,106.3
40500.0,bole,2,1,102.2
70500.0,bole,5,3,164.1
32000.0,akaky kaliti,3,2,112.6
29000.0,bole,1,1,64.6
46000.0,lidetta,5,3,148.7
46000.0,akaky kaliti,5,3,156.4
29000.0,addis ketema,3,1,104.3
46000.0,kolfe,4,2,140.4
15000.0,kolfe,1,1,45.0
22000.0,nifas silk,1,1,57.5
33000.0,kolfe,2,2,110.5
61000.0,bole,4,2,122.5
23500.0,arada,1,1,61.1
40500.0,lidetta,4,3,134.0
49000.0,arada,4,3,121.2
54000.0,kirkos,4,2,127.8
46000.0,nifas silk,4,3,140.2
54500.0,yeka,5,3,143.6
49000.0,arada,3,2,117.9
82500.0,kirkos,5,3,164.7
30500.0,yeka,2,1,87.7
42000.0,kirkos,1,1,102.9
65500.0,kirkos,4,2,142.7
40000.0,gulele,3,2,106.8
68500.0,yeka,5,3,169.1
40500.0,akaky kaliti,4,3,147.7
38500.0,kirkos,3,2,92.9
35000.0,arada,2,1,91.8
45000.0,lidetta,5,3,137.1
23000.0,nifas silk,1,1,74.8
59000.0,yeka,5,3,158.0
19000.0,gulele,1,1,70.4
25500.0,yeka,2,1,74.2
48500.0,gulele,5,3,150.7
50000.0,lidetta,5,2,133.9
69000.0,bole,5,3,128.0
52500.0,bole,4,2,121.0
30500.0,gulele,2,2,96.5
60000.0,bole,4,2,143.3
32500.0,akaky kaliti,3,2,100.6
29500.0,bole,1,1,71.1
28000.0,kolfe,3,1,85.8
34000.0,nifas silk,2,2,87.5
23000.0,kolfe,2,1,80.3
39500.0,kolfe,3,1,102.7
21000.0,yeka,1,1,45.7
46500.0,nifas silk,4,3,134.6
35500.0,bole,2,1,74.1
48000.0,nifas silk,4,3,140.9
49500.0,bole,3,2,111.6
40500.0,nifas silk,3,2,112.6
33500.0,nifas silk,3,1,96.7
38500.0,arada,3,2,98.8
65500.0,arada,5,3,163.1
56000.0,kolfe,5,3,173.2
27000.0,kolfe,2,1,91.8
48000.0,arada,4,3,119.2
56500.0,nifas silk,5,3,156.1
67000.0,bole,4,2,131.2
62500.0,bole,3,2,125.5
75500.0,bole,5,3,143.1
75500.0,kirkos,5,3,159.4
20000.0,kolfe,1,1,68.8
60000.0,kirkos,5,3,142.3
32000.0,akaky kaliti,3,2,119.9
46000.0,kirkos,2,1,107.6
38500.0,bole,2,1,82.3
50000.0,bole,3,1,124.2
25500.0,akaky kaliti,2,1,94.6
31000.0,kirkos,2,1,74.2
68500.0,arada,5,3,149.9
18000.0,akaky kaliti,1,1,63.7
32500.0,kolfe,2,2,98.9
53000.0,arada,3,2,117.1
41000.0,kirkos,2,1,102.0
37000.0,addis ketema,4,3,106.8
36000.0,gulele,2,2,89.0
22500.0,addis ketema,1,1,72.3
28500.0,bole,2,1,67.7
32000.0,lidetta,3,2,100.1
18000.0,nifas silk,1,1,53.9
66500.0,bole,5,3,152.3
27500.0,gulele,1,1,88.3
42500.0,bole,3,2,98.2
43500.0,arada,3,2,114.3
25500.0,kolfe,2,1,92.7
37000.0,yeka,2,1,90.7
65000.0,kirkos,4,2,133.6
28000.0,addis ketema,2,1,96.7
47500.0,lidetta,5,3,155.8
32000.0,yeka,2,1,99.6
42500.0,bole,2,2,88.4
14000.0,gulele,1,1,39.8
40500.0,nifas silk,3,1,107.0
34500.0,bole,2,1,78.0
41500.0,akaky kaliti,4,3,115.8
56000.0,bole,3,2,125.2
41000.0,yeka,3,2,114.1
51000.0,bole,3,1,107.6
18500.0,kolfe,1,1,57.2
49500.0,yeka,4,3,133.6
22000.0,akaky kaliti,1,1,75.9
42000.0,nifas silk,4,2,120.1
66500.0,bole,4,1,140.4
32000.0,nifas silk,2,1,85.3
46000.0,kolfe,5,3,146.8
56500.0,kolfe,5,3,175.1
42500.0,akaky kaliti,5,3,148.1
22500.0,kolfe,1,1,67.5
53000.0,gulele,5,2,175.9
15500.0,lidetta,1,1,57.4
61000.0,bole,3,2,129.8
56500.0,yeka,5,3,152.1
62500.0,bole,4,2,151.4
27500.0,gulele,2,1,89.7
30500.0,nifas silk,2,1,85.2
25500.0,lidetta,2,1,78.5
37500.0,bole,2,1,86.9
44500.0,gulele,4,2,140.8
48500.0,yeka,3,2,107.8
47000.0,yeka,4,2,126.2
34000.0,gulele,3,1,105.0
27500.0,addis ketema,2,1,97.9
24000.0,nifas silk,1,1,78.7
49000.0,nifas silk,5,3,144.0
41000.0,gulele,3,2,121.8
17500.0,yeka,1,1,52.8
35000.0,addis ketema,3,2,104.8
16000.0,kolfe,1,1,46.9
37500.0,nifas silk,4,2,110.6
19000.0,nifas silk,1,1,54.1
36000.0,bole,2,1,89.4
32500.0,akaky kaliti,3,2,115.4
42500.0,nifas silk,3,2,122.1
15000.0,gulele,1,1,42.8
48500.0,nifas silk,4,2,144.3
44500.0,akaky kaliti,5,3,148.3
73500.0,bole,5,3,160.8
45500.0,kirkos,3,2,108.1
58500.0,bole,3,1,121.9
21500.0,bole,1,1,45.0
55000.0,yeka,5,3,152.4
26500.0,yeka,2,1,73.0
67000.0,kirkos,5,3,158.1
50500.0,kirkos,3,2,101.6
47000.0,kirkos,3,2,119.1
40500.0,yeka,2,1,102.3
46500.0,nifas silk,5,3,132.3
49500.0,bole,3,2,119.5
37000.0,kirkos,2,1,82.9
39000.0,arada,3,2,93.5
31500.0,yeka,2,1,97.3
40500.0,nifas silk,4,2,115.6
17500.0,gulele,1,1,63.5
28500.0,nifas silk,1,2,72.6
43500.0,nifas silk,4,3,122.5
26000.0,yeka,2,1,77.8
63500.0,arada,4,3,142.1
41000.0,kirkos,2,2,89.8
49500.0,gulele,4,2,142.2
28000.0,lidetta,3,1,96.7
43500.0,akaky kaliti,5,3,143.9
48000.0,arada,4,2,122.9
25000.0,arada,1,1,63.1
28500.0,kolfe,2,1,89.9
35500.0,yeka,2,2,91.8
41000.0,lidetta,3,3,107.9
30500.0,arada,2,1,70.0
79500.0,bole,5,3,160.7
34500.0,bole,2,1,85.4
34500.0,lidetta,3,2,121.9
24000.0,bole,1,1,55.5
51500.0,yeka,5,3,132.8
63000.0,kirkos,5,3,151.6
72000.0,bole,4,2,145.6
51000.0,kirkos,4,3,121.3
54500.0,nifas silk,5,3,129.7
73500.0,bole,5,3,167.3
50500.0,kirkos,3,2,115.5
20500.0,addis ketema,1,1,74.8
18000.0,addis ketema,1,1,70.7
19000.0,gulele,1,1,62.3
20500.0,gulele,1,1,52.3
56000.0,kirkos,4,3,135.8
48500.0,nifas silk,4,3,139.7
31000.0,bole,1,1,81.7
46500.0,yeka,3,2,112.5
27500.0,arada,1,1,75.1
74000.0,bole,5,3,146.3
47500.0,lidetta,5,3,157.7
57500.0,bole,3,2,115.6
46000.0,kirkos,3,2,96.2
71500.0,bole,5,3,160.0
37500.0,kolfe,3,2,101.6
63500.0,kirkos,5,3,152.2
27500.0,arada,1,1,81.0
28500.0,bole,1,1,73.7
34000.0,akaky kaliti,3,2,130.9
58000.0,bole,4,3,121.6
18000.0,yeka,1,1,55.3
59500.0,arada,5,3,148.9
49500.0,arada,4,2,127.5
43500.0,bole,3,2,101.5
42000.0,yeka,3,2,117.4
19000.0,nifas silk,1,1,56.8
63000.0,nifas silk,5,3,159.1
31500.0,gulele,2,1,94.7
40000.0,kolfe,4,3,120.8
53500.0,bole,4,2,124.1
27500.0,arada,2,1,72.9
19500.0,lidetta,1,1,64.9
38000.0,arada,3,2,96.7
48500.0,kolfe,5,3,145.8
41000.0,lidetta,4,3,115.3
54500.0,arada,4,3,132.1
18500.0,akaky kaliti,1,1,69.1
20000.0,nifas silk,1,1,68.8
26500.0,lidetta,2,1,86.1
27000.0,kirkos,2,1,67.5
25500.0,arada,1,1,56.6
58500.0,arada,5,3,147.1
27000.0,bole,1,1,59.2
67500.0,kirkos,4,3,130.9
34500.0,akaky kaliti,3,2,125.1
46500.0,nifas silk,4,2,139.7
52000.0,yeka,4,2,137.7
31500.0,bole,2,1,76.3
26000.0,kirkos,1,1,62.1
18500.0,yeka,1,1,47.1
49500.0,nifas silk,4,3,135.5
64500.0,bole,4,2,132.6
50500.0,gulele,5,3,151.6
21500.0,nifas silk,1,1,55.4
43500.0,nifas silk,4,3,129.5
61000.0,arada,5,3,154.0
55500.0,kolfe,5,3,156.3
41000.0,gulele,4,3,119.3
22000.0,addis ketema,2,1,59.5
35500.0,kolfe,3,2,114.8
20500.0,lidetta,2,1,71.5
50000.0,gulele,5,3,156.5
48500.0,kirkos,3,2,115.2
23000.0,arada,1,1,49.6
37000.0,addis ketema,3,2,128.6
47000.0,yeka,3,2,119.8
40000.0,gulele,3,1,112.0
55000.0,bole,4,2,128.1
81000.0,bole,5,3,158.7
42000.0,kolfe,4,2,122.4
59500.0,arada,5,3,149.9
32000.0,arada,1,1,67.0
27000.0,addis ketema,2,1,91.9
31000.0,kirkos,2,1,79.0
16500.0,kolfe,1,1,47.9
32000.0,bole,1,1,83.5
61000.0,arada,4,2,159.9
27000.0,kolfe,2,1,91.4
14500.0,akaky kaliti,1,1,48.1
38000.0,bole,2,2,92.1
33500.0,kirkos,1,1,80.1
20000.0,bole,1,1,49.4
56000.0,bole,4,3,128.5
41500.0,kolfe,4,3,125.9
50500.0,gulele,5,3,159.5
64500.0,bole,5,2,151.0
24500.0,yeka,1,1,68.9
19000.0,nifas silk,1,1,58.3
29500.0,lidetta,3,2,97.9
61500.0,bole,4,2,142.3
26000.0,arada,1,1,68.6
41000.0,bole,2,1,104.0
29000.0,kirkos,2,1,73.3
45000.0,akaky kaliti,5,3,145.4
32500.0,gulele,2,2,87.9
32500.0,yeka,2,1,79.2
19000.0,lidetta,1,1,73.4
28500.0,kirkos,1,1,61.8
39500.0,yeka,3,2,108.8
40500.0,nifas silk,3,2,110.0
58500.0,kirkos,3,3,119.2
58000.0,yeka,5,3,156.7
34500.0,lidetta,3,2,113.5
34000.0,bole,2,1,83.7
35000.0,kirkos,2,1,77.4
60500.0,gulele,5,2,155.5
33000.0,kolfe,2,2,82.0
20500.0,addis ketema,1,1,84.3
45000.0,kirkos,3,1,115.6
30500.0,bole,1,1,68.5
44000.0,nifas silk,4,2,128.9
23000.0,addis ketema,2,2,70.9
51500.0,gulele,5,2,149.4
53000.0,nifas silk,5,3,153.2
40500.0,kirkos,2,2,88.8
35000.0,akaky kaliti,3,2,113.6
44500.0,arada,3,2,119.1
52500.0,bole,4,2,121.7
26500.0,kirkos,1,1,55.8
41000.0,bole,2,1,103.4
27000.0,yeka,1,1,73.3
39000.0,nifas silk,3,2,106.8
54000.0,kirkos,4,3,130.4
69500.0,kirkos,5,3,157.7
22000.0,kolfe,1,1,66.3
62500.0,arada,4,2,138.0
19500.0,yeka,1,1,43.8
14500.0,akaky kaliti,1,1,58.2
60500.0,yeka,5,3,166.7
65000.0,kirkos,5,3,156.8
30500.0,akaky kaliti,4,2,77.3
62500.0,arada,5,3,160.1
23000.0,gulele,1,1,87.0
17500.0,nifas silk,1,1,40.0
59500.0,yeka,5,3,163.3
52000.0,lidetta,5,3,157.4
50500.0,yeka,4,3,143.8
31500.0,nifas silk,2,1,90.4
37000.0,kolfe,3,1,115.0
34500.0,kolfe,3,1,103.1
54000.0,kirkos,4,3,107.7
27500.0,addis ketema,2,1,107.0
42500.0,kolfe,5,2,128.1
28000.0,akaky kaliti,3,2,89.8
51000.0,nifas silk,5,3,152.5
80000.0,bole,5,3,156.7
31000.0,nifas silk,3,2,90.8
50000.0,arada,3,2,115.2
70500.0,kirkos,5,3,145.4
67500.0,bole,5,3,149.9
11500.0,addis ketema,1,1,40.6
47000.0,bole,3,1,108.1
25500.0,yeka,1,1,66.0
23500.0,arada,1,1,66.9
56000.0,yeka,5,3,155.4
59500.0,bole,4,2,142.0
57000.0,bole,4,2,128.9
34500.0,kirkos,2,1,89.8
32000.0,gulele,3,1,100.2
28500.0,yeka,2,1,79.3
42000.0,kirkos,2,1,90.6
38500.0,bole,2,1,82.4
49500.0,bole,3,1,104.1
31500.0,lidetta,3,3,101.9
28000.0,bole,2,1,66.3
66000.0,arada,4,3,134.6
35000.0,arada,2,1,88.8
66500.0,kirkos,4,2,140.2
33000.0,kirkos,2,1,79.6
52000.0,kolfe,5,3,174.7
22500.0,lidetta,2,1,81.4
20000.0,yeka,1,1,53.5
22000.0,kirkos,1,1,52.1
54000.0,yeka,5,3,131.2
65500.0,arada,5,3,170.4
31500.0,gulele,2,1,102.5
50500.0,yeka,4,3,137.2
51000.0,bole,3,2,103.8
56500.0,arada,4,2,126.8
64500.0,gulele,5,2,169.2
71000.0,bole,5,3,159.9
43500.0,bole,2,1,89.0
33000.0,akaky kaliti,3,2,103.2
28000.0,bole,1,1,56.7
34500.0,bole,1,1,77.7
20500.0,nifas silk,1,1,71.2
33000.0,yeka,2,1,86.2
45000.0,nifas silk,4,3,118.1
21000.0,nifas silk,1,1,66.7
44000.0,bole,2,1,91.2
17500.0,lidetta,1,1,66.0
25500.0,nifas silk,2,1,76.4
65000.0,yeka,5,3,182.8
25000.0,akaky kaliti,3,1,89.9
35000.0,arada,2,1,83.1
53500.0,addis ketema,5,3,146.4
42500.0,kirkos,2,1,98.4
35000.0,kolfe,3,2,113.7
22500.0,yeka,1,1,65.8
26000.0,kolfe,2,1,95.6
37000.0,nifas silk,3,2,108.2
40000.0,yeka,1,1,102.2
64000.0,kirkos,5,3,153.8
55500.0,yeka,5,3,154.3
37500.0,bole,2,1,79.5
40500.0,bole,3,2,92.0
16500.0,bole,1,1,38.1
27000.0,gulele,2,1,86.4
40000.0,gulele,3,3,124.4
38500.0,yeka,3,2,104.0
19500.0,akaky kaliti,2,1,63.7
46500.0,nifas silk,4,2,135.4
59500.0,bole,4,3,137.9
38000.0,arada,2,1,99.6
48000.0,addis ketema,5,2,159.0
38000.0,bole,2,2,92.2
33500.0,addis ketema,3,2,118.4
33000.0,nifas silk,3,1,86.2
61000.0,bole,4,3,112.0
22000.0,akaky kaliti,2,1,77.2
48000.0,lidetta,5,3,150.4
35500.0,arada,2,1,90.7
58500.0,yeka,5,3,165.4
53000.0,bole,3,2,121.8
41500.0,nifas silk,4,2,119.5
66000.0,yeka,5,3,154.9
51000.0,gulele,5,3,141.8
47000.0,bole,3,2,111.9
15000.0,nifas silk,1,1,30.0
47000.0,yeka,3,2,136.9
35500.0,yeka,3,2,100.9
21500.0,arada,1,1,59.8
40000.0,kirkos,2,2,87.6
26500.0,gulele,2,2,80.2
63500.0,gulele,5,3,171.8
39000.0,nifas silk,3,2,106.7
20000.0,kolfe,1,1,65.8
24000.0,addis ketema,1,1,78.4
66000.0,kirkos,5,2,159.0
60000.0,arada,5,3,151.3
63500.0,bole,4,3,143.3
25500.0,kolfe,1,1,94.5
26000.0,kirkos,1,1,65.4
57500.0,bole,4,3,132.0
59500.0,kirkos,5,2,144.8
20500.0,bole,1,1,45.6
43000.0,addis ketema,5,3,137.8
66000.0,bole,5,3,145.8
24000.0,lidetta,1,1,85.2
18500.0,akaky kaliti,1,1,70.4
59000.0,arada,4,3,121.3
47500.0,lidetta,4,2,143.5
50500.0,arada,4,2,124.7
21000.0,gulele,1,1,77.5
49500.0,gulele,5,2,140.1
50000.0,kolfe,5,3,156.7
51000.0,nifas silk,4,2,157.3
77000.0,bole,5,3,154.5
37500.0,lidetta,3,2,112.9
23000.0,kolfe,2,1,80.4
72500.0,bole,5,3,135.3
52500.0,yeka,4,2,138.4
25000.0,gulele,1,1,77.4
78000.0,bole,5,3,148.3
44500.0,kirkos,3,1,96.5
39000.0,lidetta,4,2,123.3
45500.0,kirkos,3,2,95.9
50000.0,yeka,3,2,130.7
43500.0,nifas silk,4,2,135.6
44000.0,nifas silk,4,2,136.9
36500.0,kirkos,2,1,96.6
33000.0,akaky kaliti,3,2,103.0
26000.0,arada,1,1,67.3
24500.0,yeka,1,1,60.8
64500.0,kirkos,4,2,134.1
32500.0,bole,2,2,70.0
33500.0,gulele,3,2,109.8
62500.0,kirkos,5,3,149.5
30500.0,yeka,1,1,70.1
41500.0,kolfe,3,2,138.3
38500.0,lidetta,3,2,103.3
63000.0,yeka,5,3,145.5
33000.0,yeka,3,1,94.7
50000.0,yeka,4,3,132.5
28500.0,arada,2,1,76.3
51000.0,bole,4,3,106.3
66000.0,arada,4,3,141.1
16500.0,addis ketema,1,1,54.8
53500.0,nifas silk,4,2,129.6
26500.0,arada,2,1,68.9
53000.0,bole,4,2,123.0
54000.0,yeka,4,3,129.9
53000.0,kolfe,5,3,157.8
37000.0,lidetta,3,2,125.3
20000.0,akaky kaliti,1,1,72.8
48500.0,addis ketema,4,2,141.5
22500.0,addis ketema,1,1,70.8
25000.0,bole,1,1,63.6
58500.0,yeka,5,3,164.9
42500.0,arada,3,1,115.8
69500.0,bole,5,3,134.5
34500.0,nifas silk,3,1,104.7
64000.0,arada,4,2,139.4
42000.0,bole,2,1,85.7
24000.0,yeka,1,1,77.6
40000.0,bole,2,1,101.8
33500.0,lidetta,3,1,122.4
24000.0,nifas silk,1,1,78.5
22000.0,gulele,2,1,73.6
30000.0,yeka,1,1,69.8
50500.0,kirkos,4,2,122.7
55500.0,kolfe,5,3,148.6
36000.0,kolfe,2,2,101.9
50000.0,akaky kaliti,5,3,176.2
29500.0,akaky kaliti,2,1,115.4
35500.0,bole,2,1,88.1
50000.0,yeka,4,2,130.3
34500.0,lidetta,3,1,92.6
61500.0,kirkos,5,3,146.0
52500.0,yeka,4,2,145.4
36500.0,lidetta,3,2,121.6
33000.0,kirkos,2,1,85.4
37000.0,arada,2,2,85.3
24500.0,yeka,1,1,73.4
29500.0,bole,1,1,68.4
26500.0,akaky kaliti,2,1,109.7
18500.0,kolfe,1,1,61.2
69000.0,arada,5,2,176.0
35500.0,arada,2,1,100.2
50000.0,kirkos,3,2,108.3
76000.0,bole,5,2,149.4
24000.0,arada,1,1,69.2
53000.0,yeka,5,2,150.1
57000.0,yeka,5,3,153.6
77000.0,bole,5,3,149.1
38000.0,akaky kaliti,4,2,130.6
53000.0,nifas silk,5,3,160.6
45000.0,arada,3,1,124.4
36500.0,kirkos,1,1,83.5
73000.0,arada,5,3,154.4
49500.0,yeka,4,2,136.9
46000.0,addis ketema,5,2,150.2
52000.0,kolfe,5,2,158.3
23000.0,gulele,1,1,67.8
41500.0,arada,3,2,108.7
27500.0,bole,1,1,65.7
16500.0,akaky kaliti,1,1,69.4
66500.0,kirkos,5,3,148.5
75000.0,bole,5,3,149.1
57000.0,kolfe,5,3,184.5
48000.0,nifas silk,4,3,115.5
31000.0,kolfe,3,2,92.9
39500.0,akaky kaliti,4,2,140.7
44500.0,nifas silk,4,2,132.1
78500.0,bole,5,3,158.3
37500.0,addis ketema,4,3,121.7
25000.0,bole,1,1,63.8
18500.0,arada,1,1,45.0
50500.0,bole,4,2,116.1
60000.0,bole,4,3,116.5
50000.0,nifas silk,4,3,139.2
44000.0,gulele,4,2,112.2
47500.0,nifas silk,5,3,118.7
26500.0,nifas silk,1,1,78.7
43000.0,arada,3,2,86.1
52000.0,addis ketema,5,3,162.1
49500.0,kirkos,4,2,119.3
70500.0,bole,5,3,164.6
31000.0,gulele,1,1,102.5
46000.0,kirkos,4,2,108.3
46000.0,akaky kaliti,5,3,157.1
38000.0,addis ketema,4,2,131.6
37000.0,arada,3,1,97.1
55000.0,nifas silk,5,3,161.4
20000.0,yeka,1,1,46.6
26500.0,akaky kaliti,2,1,100.9
38000.0,gulele,4,3,113.2
56000.0,gulele,5,3,174.9
37500.0,arada,2,1,100.7
18000.0,akaky kaliti,1,1,54.4
23500.0,kirkos,1,1,63.0
32500.0,nifas silk,2,1,87.5
73500.0,kirkos,5,3,170.3
48500.0,kirkos,3,1,113.3
73500.0,kirkos,5,3,154.1
36000.0,bole,2,1,83.6
41000.0,bole,2,2,85.4
23000.0,gulele,1,1,79.7
