title,location,subcity,bedrooms,bathrooms,size_sqm,furnished,price_etb,description
Rent a 4-bedroom home located in Nifas Silk. Floor space of 129 square metres. Features a private water tank. Close to schools and markets.,Nifas Silk,Nifas Silk,4.0,2.0,129.1,False,44000.0,Rent a 4-bedroom home located in Nifas Silk. Floor space of 129 square metres. Features a private water tank. Close to schools and markets.
"Rent a 1-bedroom home located in Kolfe. 42 square metres, well laid out. Features a private water tank. Comes with a backup generator. Close to schools and markets.",Kolfe,Kolfe,1.0,1.0,42.1,False,17000.0,"Rent a 1-bedroom home located in Kolfe. 42 square metres, well laid out. Features a private water tank. Comes with a backup generator. Close to schools and markets."
"1-bedroom apartment in Kirkos available for rent. 78 square metres, well laid out. Furnished and ready to move in. Quiet neighbourhood with good access to transport.",Kirkos,Kirkos,1.0,1.0,77.5,False,32500.0,"1-bedroom apartment in Kirkos available for rent. 78 square metres, well laid out. Furnished and ready to move in. Quiet neighbourhood with good access to transport."
"Apartment with 3 bedrooms in Addis Ketema, now available. 133 square metres, well laid out. Features a private water tank. Close to schools and markets.",Addis Ketema,Addis Ketema,3.0,1.0,132.8,False,37000.0,"Apartment with 3 bedrooms in Addis Ketema, now available. 133 square metres, well laid out. Features a private water tank. Close to schools and markets."
Rent a 2-bedroom home located in Akaky Kaliti. Floor space of 87 square metres. Features a private water tank. Quiet neighbourhood with good access to transport.,Akaky Kaliti,Akaky Kaliti,2.0,1.0,87.0,False,24000.0,Rent a 2-bedroom home located in Akaky Kaliti. Floor space of 87 square metres. Features a private water tank. Quiet neighbourhood with good access to transport.
"Rent a 3-bedroom home located in Kolfe. 82 square metres, well laid out. Features a private water tank. Comes with a backup generator. Quiet neighbourhood with good access to transport.",Kolfe,Kolfe,3.0,2.0,82.5,False,31000.0,"Rent a 3-bedroom home located in Kolfe. 82 square metres, well laid out. Features a private water tank. Comes with a backup generator. Quiet neighbourhood with good access to transport."
"1-bedroom apartment in Yeka available for rent. 71 square metres, well laid out. Well maintained apartment. Well maintained and secure.",Yeka,Yeka,1.0,1.0,71.3,False,22500.0,"1-bedroom apartment in Yeka available for rent. 71 square metres, well laid out. Well maintained apartment. Well maintained and secure."
Rent a 2-bedroom home located in Arada. About 75 square metres of living space. Features a private water tank. Quiet neighbourhood with good access to transport.,Arada,Arada,2.0,2.0,75.2,False,31000.0,Rent a 2-bedroom home located in Arada. About 75 square metres of living space. Features a private water tank. Quiet neighbourhood with good access to transport.
"Apartment with 3 bedrooms in Bole, now available. Floor space of 100 square metres. Features a private water tank. Close to schools and markets.",Bole,Bole,3.0,1.0,100.0,False,43500.0,"Apartment with 3 bedrooms in Bole, now available. Floor space of 100 square metres. Features a private water tank. Close to schools and markets."
Rent a 4-bedroom home located in Bole. Floor space of 138 square metres. Well maintained apartment. Quiet neighbourhood with good access to transport.,Bole,Bole,4.0,2.0,137.5,False,58000.0,Rent a 4-bedroom home located in Bole. Floor space of 138 square metres. Well maintained apartment. Quiet neighbourhood with good access to transport.
"Apartment with 3 bedrooms in Gulele, now available. About 111 square metres of living space. Features a private water tank. Comes with a backup generator. Furnished and ready to move in. Close to schools and markets.",Gulele,Gulele,3.0,2.0,111.1,False,44000.0,"Apartment with 3 bedrooms in Gulele, now available. About 111 square metres of living space. Features a private water tank. Comes with a backup generator. Furnished and ready to move in. Close to schools and markets."
"Rent a 3-bedroom home located in Gulele. 102 square metres, well laid out. Features a private water tank. Ideal for families or professionals.",Gulele,Gulele,3.0,2.0,102.1,False,34000.0,"Rent a 3-bedroom home located in Gulele. 102 square metres, well laid out. Features a private water tank. Ideal for families or professionals."
Rent a 3-bedroom home located in Addis Ketema. Floor space of 100 square metres. Well maintained apartment. Ideal for families or professionals.,Addis Ketema,Addis Ketema,3.0,2.0,100.2,False,29500.0,Rent a 3-bedroom home located in Addis Ketema. Floor space of 100 square metres. Well maintained apartment. Ideal for families or professionals.
"Rent a 2-bedroom home located in Kirkos. 88 square metres, well laid out. Well maintained apartment. Well maintained and secure.",Kirkos,Kirkos,2.0,1.0,87.5,False,33500.0,"Rent a 2-bedroom home located in Kirkos. 88 square metres, well laid out. Well maintained apartment. Well maintained and secure."
2-bedroom apartment in Kirkos available for rent. About 81 square metres of living space. Features a private water tank. Furnished and ready to move in. Quiet neighbourhood with good access to transport.,Kirkos,Kirkos,2.0,2.0,81.1,False,39500.0,2-bedroom apartment in Kirkos available for rent. About 81 square metres of living space. Features a private water tank. Furnished and ready to move in. Quiet neighbourhood with good access to transport.
"Apartment with 3 bedrooms in Arada, now available. About 95 square metres of living space. Comes with a backup generator. Furnished and ready to move in. Ideal for families or professionals.",Arada,Arada,3.0,2.0,94.7,False,46000.0,"Apartment with 3 bedrooms in Arada, now available. About 95 square metres of living space. Comes with a backup generator. Furnished and ready to move in. Ideal for families or professionals."
1-bedroom unit in Yeka for long-term rental. About 60 square metres of living space. Well maintained apartment. Quiet neighbourhood with good access to transport.,Yeka,Yeka,1.0,1.0,60.0,False,19500.0,1-bedroom unit in Yeka for long-term rental. About 60 square metres of living space. Well maintained apartment. Quiet neighbourhood with good access to transport.
4-bedroom apartment in Bole available for rent. About 134 square metres of living space. Furnished and ready to move in. Quiet neighbourhood with good access to transport.,Bole,Bole,4.0,2.0,134.1,False,65500.0,4-bedroom apartment in Bole available for rent. About 134 square metres of living space. Furnished and ready to move in. Quiet neighbourhood with good access to transport.
"Apartment with 4 bedrooms in Arada, now available. 128 square metres, well laid out. Furnished and ready to move in. Quiet neighbourhood with good access to transport.",Arada,Arada,4.0,3.0,127.9,False,58500.0,"Apartment with 4 bedrooms in Arada, now available. 128 square metres, well laid out. Furnished and ready to move in. Quiet neighbourhood with good access to transport."
"Apartment with 2 bedrooms in Yeka, now available. About 69 square metres of living space. Furnished and ready to move in. Quiet neighbourhood with good access to transport.",Yeka,Yeka,2.0,1.0,69.0,False,27500.0,"Apartment with 2 bedrooms in Yeka, now available. About 69 square metres of living space. Furnished and ready to move in. Quiet neighbourhood with good access to transport."
"Rent a 2-bedroom home located in Gulele. 98 square metres, well laid out. Comes with a backup generator. Quiet neighbourhood with good access to transport.",Gulele,Gulele,2.0,1.0,97.9,False,30000.0,"Rent a 2-bedroom home located in Gulele. 98 square metres, well laid out. Comes with a backup generator. Quiet neighbourhood with good access to transport."
"2-bedroom unit in Kirkos for long-term rental. 53 square metres, well laid out. Furnished and ready to move in. Quiet neighbourhood with good access to transport.",Kirkos,Kirkos,2.0,1.0,53.1,False,26000.0,"2-bedroom unit in Kirkos for long-term rental. 53 square metres, well laid out. Furnished and ready to move in. Quiet neighbourhood with good access to transport."
4-bedroom apartment in Lidetta available for rent. About 125 square metres of living space. Furnished and ready to move in. Close to schools and markets.,Lidetta,Lidetta,4.0,2.0,124.6,False,43000.0,4-bedroom apartment in Lidetta available for rent. About 125 square metres of living space. Furnished and ready to move in. Close to schools and markets.
4-bedroom apartment in Gulele available for rent. Floor space of 123 square metres. Well maintained apartment. Well maintained and secure.,Gulele,Gulele,4.0,3.0,122.6,False,40000.0,4-bedroom apartment in Gulele available for rent. Floor space of 123 square metres. Well maintained apartment. Well maintained and secure.
1-bedroom apartment in Yeka available for rent. About 66 square metres of living space. Well maintained apartment. Quiet neighbourhood with good access to transport.,Yeka,Yeka,1.0,1.0,65.8,False,21000.0,1-bedroom apartment in Yeka available for rent. About 66 square metres of living space. Well maintained apartment. Quiet neighbourhood with good access to transport.
3-bedroom apartment in Lidetta available for rent. Floor space of 115 square metres. Furnished and ready to move in. Close to schools and markets.,Lidetta,Lidetta,3.0,2.0,114.7,False,38000.0,3-bedroom apartment in Lidetta available for rent. Floor space of 115 square metres. Furnished and ready to move in. Close to schools and markets.
Rent a 1-bedroom home located in Kolfe. About 78 square metres of living space. Furnished and ready to move in. Quiet neighbourhood with good access to transport.,Kolfe,Kolfe,1.0,1.0,77.5,False,23000.0,Rent a 1-bedroom home located in Kolfe. About 78 square metres of living space. Furnished and ready to move in. Quiet neighbourhood with good access to transport.
"3-bedroom unit in Kirkos for long-term rental. 100 square metres, well laid out. Well maintained apartment. Well maintained and secure.",Kirkos,Kirkos,3.0,3.0,99.5,False,42000.0,"3-bedroom unit in Kirkos for long-term rental. 100 square metres, well laid out. Well maintained apartment. Well maintained and secure."
Rent a 2-bedroom home located in Yeka. About 93 square metres of living space. Comes with a backup generator. Close to schools and markets.,Yeka,Yeka,2.0,1.0,93.0,False,33000.0,Rent a 2-bedroom home located in Yeka. About 93 square metres of living space. Comes with a backup generator. Close to schools and markets.
2-bedroom apartment in Gulele available for rent. About 88 square metres of living space. Features a private water tank. Comes with a backup generator. Furnished and ready to move in. Well maintained and secure.,Gulele,Gulele,2.0,2.0,88.3,False,35500.0,2-bedroom apartment in Gulele available for rent. About 88 square metres of living space. Features a private water tank. Comes with a backup generator. Furnished and ready to move in. Well maintained and secure.
3-bedroom apartment in Bole available for rent. About 88 square metres of living space. Features a private water tank. Furnished and ready to move in. Well maintained and secure.,Bole,Bole,3.0,2.0,87.5,False,46500.0,3-bedroom apartment in Bole available for rent. About 88 square metres of living space. Features a private water tank. Furnished and ready to move in. Well maintained and secure.
2-bedroom apartment in Yeka available for rent. About 109 square metres of living space. Furnished and ready to move in. Well maintained and secure.,Yeka,Yeka,2.0,1.0,108.8,False,39500.0,2-bedroom apartment in Yeka available for rent. About 109 square metres of living space. Furnished and ready to move in. Well maintained and secure.
"2-bedroom apartment in Bole available for rent. 69 square metres, well laid out. Well maintained apartment. Quiet neighbourhood with good access to transport.",Bole,Bole,2.0,1.0,68.7,False,29000.0,"2-bedroom apartment in Bole available for rent. 69 square metres, well laid out. Well maintained apartment. Quiet neighbourhood with good access to transport."
"Apartment with 4 bedrooms in Kolfe, now available. About 135 square metres of living space. Features a private water tank. Well maintained and secure.",Kolfe,Kolfe,4.0,2.0,135.0,False,42000.0,"Apartment with 4 bedrooms in Kolfe, now available. About 135 square metres of living space. Features a private water tank. Well maintained and secure."
"5-bedroom unit in Gulele for long-term rental. 157 square metres, well laid out. Well maintained apartment. Ideal for families or professionals.",Gulele,Gulele,5.0,3.0,156.7,False,50000.0,"5-bedroom unit in Gulele for long-term rental. 157 square metres, well laid out. Well maintained apartment. Ideal for families or professionals."
"1-bedroom apartment in Gulele available for rent. 67 square metres, well laid out. Well maintained apartment. Well maintained and secure.",Gulele,Gulele,1.0,1.0,67.3,False,18500.0,"1-bedroom apartment in Gulele available for rent. 67 square metres, well laid out. Well maintained apartment. Well maintained and secure."
2-bedroom apartment in Kolfe available for rent. About 80 square metres of living space. Features a private water tank. Ideal for families or professionals.,Kolfe,Kolfe,2.0,1.0,80.1,False,24500.0,2-bedroom apartment in Kolfe available for rent. About 80 square metres of living space. Features a private water tank. Ideal for families or professionals.
"Apartment with 5 bedrooms in Arada, now available. Floor space of 162 square metres. Furnished and ready to move in. Close to schools and markets.",Arada,Arada,5.0,3.0,161.9,False,72500.0,"Apartment with 5 bedrooms in Arada, now available. Floor space of 162 square metres. Furnished and ready to move in. Close to schools and markets."
"Apartment with 3 bedrooms in Nifas Silk, now available. 89 square metres, well laid out. Features a private water tank. Comes with a backup generator. Close to schools and markets.",Nifas Silk,Nifas Silk,3.0,2.0,89.3,False,35000.0,"Apartment with 3 bedrooms in Nifas Silk, now available. 89 square metres, well laid out. Features a private water tank. Comes with a backup generator. Close to schools and markets."
"Rent a 2-bedroom home located in Bole. 85 square metres, well laid out. Well maintained apartment. Ideal for families or professionals.",Bole,Bole,2.0,2.0,85.2,False,36000.0,"Rent a 2-bedroom home located in Bole. 85 square metres, well laid out. Well maintained apartment. Ideal for families or professionals."
3-bedroom apartment in Bole available for rent. About 101 square metres of living space. Features a private water tank. Ideal for families or professionals.,Bole,Bole,3.0,2.0,101.2,False,45000.0,3-bedroom apartment in Bole available for rent. About 101 square metres of living space. Features a private water tank. Ideal for families or professionals.
"1-bedroom unit in Gulele for long-term rental. 56 square metres, well laid out. Features a private water tank. Comes with a backup generator. Furnished and ready to move in. Quiet neighbourhood with good access to transport.",Gulele,Gulele,1.0,2.0,55.9,False,25000.0,"1-bedroom unit in Gulele for long-term rental. 56 square metres, well laid out. Features a private water tank. Comes with a backup generator. Furnished and ready to move in. Quiet neighbourhood with good access to transport."
1-bedroom apartment in Arada available for rent. Floor space of 69 square metres. Well maintained apartment. Well maintained and secure.,Arada,Arada,1.0,1.0,69.1,False,24000.0,1-bedroom apartment in Arada available for rent. Floor space of 69 square metres. Well maintained apartment. Well maintained and secure.
"Apartment with 4 bedrooms in Nifas Silk, now available. About 143 square metres of living space. Comes with a backup generator. Close to schools and markets.",Nifas Silk,Nifas Silk,4.0,2.0,142.9,False,48000.0,"Apartment with 4 bedrooms in Nifas Silk, now available. About 143 square metres of living space. Comes with a backup generator. Close to schools and markets."
Rent a 3-bedroom home located in Kolfe. Floor space of 104 square metres. Features a private water tank. Comes with a backup generator. Ideal for families or professionals.,Kolfe,Kolfe,3.0,1.0,103.9,False,34500.0,Rent a 3-bedroom home located in Kolfe. Floor space of 104 square metres. Features a private water tank. Comes with a backup generator. Ideal for families or professionals.
4-bedroom unit in Nifas Silk for long-term rental. Floor space of 139 square metres. Features a private water tank. Well maintained and secure.,Nifas Silk,Nifas Silk,4.0,3.0,139.4,False,47500.0,4-bedroom unit in Nifas Silk for long-term rental. Floor space of 139 square metres. Features a private water tank. Well maintained and secure.
2-bedroom unit in Arada for long-term rental. About 87 square metres of living space. Features a private water tank. Well maintained and secure.,Arada,Arada,2.0,2.0,86.6,False,34500.0,2-bedroom unit in Arada for long-term rental. About 87 square metres of living space. Features a private water tank. Well maintained and secure.
"Apartment with 5 bedrooms in Arada, now available. 141 square metres, well laid out. Features a private water tank. Quiet neighbourhood with good access to transport.",Arada,Arada,5.0,3.0,141.3,False,59000.0,"Apartment with 5 bedrooms in Arada, now available. 141 square metres, well laid out. Features a private water tank. Quiet neighbourhood with good access to transport."
"Apartment with 3 bedrooms in Yeka, now available. 105 square metres, well laid out. Well maintained apartment. Ideal for families or professionals.",Yeka,Yeka,3.0,2.0,104.9,False,37000.0,"Apartment with 3 bedrooms in Yeka, now available. 105 square metres, well laid out. Well maintained apartment. Ideal for families or professionals."
"Apartment with 4 bedrooms in Bole, now available. Floor space of 126 square metres. Well maintained apartment. Well maintained and secure.",Bole,Bole,4.0,3.0,126.4,False,55500.0,"Apartment with 4 bedrooms in Bole, now available. Floor space of 126 square metres. Well maintained apartment. Well maintained and secure."
Rent a 1-bedroom home located in Kirkos. About 56 square metres of living space. Comes with a backup generator. Close to schools and markets.,Kirkos,Kirkos,1.0,1.0,55.6,False,24000.0,Rent a 1-bedroom home located in Kirkos. About 56 square metres of living space. Comes with a backup generator. Close to schools and markets.
1-bedroom apartment in Yeka available for rent. About 69 square metres of living space. Features a private water tank. Furnished and ready to move in. Close to schools and markets.,Yeka,Yeka,1.0,1.0,69.1,False,27000.0,1-bedroom apartment in Yeka available for rent. About 69 square metres of living space. Features a private water tank. Furnished and ready to move in. Close to schools and markets.
4-bedroom unit in Kirkos for long-term rental. Floor space of 133 square metres. Comes with a backup generator. Furnished and ready to move in. Well maintained and secure.,Kirkos,Kirkos,4.0,2.0,132.8,False,64500.0,4-bedroom unit in Kirkos for long-term rental. Floor space of 133 square metres. Comes with a backup generator. Furnished and ready to move in. Well maintained and secure.
Rent a 5-bedroom home located in Lidetta. Floor space of 133 square metres. Well maintained apartment. Well maintained and secure.,Lidetta,Lidetta,5.0,3.0,132.9,False,42500.0,Rent a 5-bedroom home located in Lidetta. Floor space of 133 square metres. Well maintained apartment. Well maintained and secure.
"Apartment with 5 bedrooms in Yeka, now available. Floor space of 132 square metres. Features a private water tank. Well maintained and secure.",Yeka,Yeka,5.0,2.0,132.2,False,50000.0,"Apartment with 5 bedrooms in Yeka, now available. Floor space of 132 square metres. Features a private water tank. Well maintained and secure."
"2-bedroom unit in Bole for long-term rental. 91 square metres, well laid out. Features a private water tank. Furnished and ready to move in. Ideal for families or professionals.",Bole,Bole,2.0,2.0,91.1,False,45500.0,"2-bedroom unit in Bole for long-term rental. 91 square metres, well laid out. Features a private water tank. Furnished and ready to move in. Ideal for families or professionals."
"Apartment with 1 bedrooms in Yeka, now available. About 54 square metres of living space. Features a private water tank. Quiet neighbourhood with good access to transport.",Yeka,Yeka,1.0,1.0,54.2,False,19500.0,"Apartment with 1 bedrooms in Yeka, now available. About 54 square metres of living space. Features a private water tank. Quiet neighbourhood with good access to transport."
5-bedroom unit in Yeka for long-term rental. Floor space of 156 square metres. Features a private water tank. Quiet neighbourhood with good access to transport.,Yeka,Yeka,5.0,3.0,155.6,False,57500.0,5-bedroom unit in Yeka for long-term rental. Floor space of 156 square metres. Features a private water tank. Quiet neighbourhood with good access to transport.
"Rent a 4-bedroom home located in Gulele. 139 square metres, well laid out. Features a private water tank. Well maintained and secure.",Gulele,Gulele,4.0,3.0,139.4,False,45500.0,"Rent a 4-bedroom home located in Gulele. 139 square metres, well laid out. Features a private water tank. Well maintained and secure."
2-bedroom unit in Arada for long-term rental. Floor space of 71 square metres. Features a private water tank. Furnished and ready to move in. Quiet neighbourhood with good access to transport.,Arada,Arada,2.0,1.0,70.7,False,33000.0,2-bedroom unit in Arada for long-term rental. Floor space of 71 square metres. Features a private water tank. Furnished and ready to move in. Quiet neighbourhood with good access to transport.
4-bedroom apartment in Kolfe available for rent. About 113 square metres of living space. Features a private water tank. Well maintained and secure.,Kolfe,Kolfe,4.0,2.0,113.1,False,37500.0,4-bedroom apartment in Kolfe available for rent. About 113 square metres of living space. Features a private water tank. Well maintained and secure.
5-bedroom unit in Gulele for long-term rental. Floor space of 172 square metres. Features a private water tank. Well maintained and secure.,Gulele,Gulele,5.0,3.0,172.1,False,55000.0,5-bedroom unit in Gulele for long-term rental. Floor space of 172 square metres. Features a private water tank. Well maintained and secure.
"Apartment with 2 bedrooms in Kirkos, now available. 90 square metres, well laid out. Features a private water tank. Furnished and ready to move in. Well maintained and secure.",Kirkos,Kirkos,2.0,2.0,90.2,False,43000.0,"Apartment with 2 bedrooms in Kirkos, now available. 90 square metres, well laid out. Features a private water tank. Furnished and ready to move in. Well maintained and secure."
Rent a 4-bedroom home located in Kolfe. Floor space of 125 square metres. Features a private water tank. Ideal for families or professionals.,Kolfe,Kolfe,4.0,2.0,125.0,False,40000.0,Rent a 4-bedroom home located in Kolfe. Floor space of 125 square metres. Features a private water tank. Ideal for families or professionals.
"Apartment with 4 bedrooms in Bole, now available. 119 square metres, well laid out. Well maintained apartment. Quiet neighbourhood with good access to transport.",Bole,Bole,4.0,2.0,118.8,False,51500.0,"Apartment with 4 bedrooms in Bole, now available. 119 square metres, well laid out. Well maintained apartment. Quiet neighbourhood with good access to transport."
"Apartment with 3 bedrooms in Bole, now available. About 102 square metres of living space. Well maintained apartment. Ideal for families or professionals.",Bole,Bole,3.0,2.0,101.9,False,43500.0,"Apartment with 3 bedrooms in Bole, now available. About 102 square metres of living space. Well maintained apartment. Ideal for families or professionals."
"Apartment with 4 bedrooms in Bole, now available. About 116 square metres of living space. Well maintained apartment. Quiet neighbourhood with good access to transport.",Bole,Bole,4.0,3.0,115.7,False,51500.0,"Apartment with 4 bedrooms in Bole, now available. About 116 square metres of living space. Well maintained apartment. Quiet neighbourhood with good access to transport."
Rent a 2-bedroom home located in Gulele. About 97 square metres of living space. Features a private water tank. Furnished and ready to move in. Well maintained and secure.,Gulele,Gulele,2.0,1.0,96.6,False,33500.0,Rent a 2-bedroom home located in Gulele. About 97 square metres of living space. Features a private water tank. Furnished and ready to move in. Well maintained and secure.
5-bedroom apartment in Arada available for rent. About 143 square metres of living space. Furnished and ready to move in. Ideal for families or professionals.,Arada,Arada,5.0,3.0,142.7,False,66000.0,5-bedroom apartment in Arada available for rent. About 143 square metres of living space. Furnished and ready to move in. Ideal for families or professionals.
"5-bedroom unit in Bole for long-term rental. 165 square metres, well laid out. Furnished and ready to move in. Quiet neighbourhood with good access to transport.",Bole,Bole,5.0,3.0,165.1,False,81500.0,"5-bedroom unit in Bole for long-term rental. 165 square metres, well laid out. Furnished and ready to move in. Quiet neighbourhood with good access to transport."
"5-bedroom apartment in Arada available for rent. 147 square metres, well laid out. Furnished and ready to move in. Ideal for families or professionals.",Arada,Arada,5.0,3.0,147.2,False,67500.0,"5-bedroom apartment in Arada available for rent. 147 square metres, well laid out. Furnished and ready to move in. Ideal for families or professionals."
"Apartment with 4 bedrooms in Bole, now available. 118 square metres, well laid out. Well maintained apartment. Quiet neighbourhood with good access to transport.",Bole,Bole,4.0,2.0,117.5,False,51000.0,"Apartment with 4 bedrooms in Bole, now available. 118 square metres, well laid out. Well maintained apartment. Quiet neighbourhood with good access to transport."
1-bedroom unit in Gulele for long-term rental. About 59 square metres of living space. Features a private water tank. Furnished and ready to move in. Quiet neighbourhood with good access to transport.,Gulele,Gulele,1.0,1.0,58.9,False,21000.0,1-bedroom unit in Gulele for long-term rental. About 59 square metres of living space. Features a private water tank. Furnished and ready to move in. Quiet neighbourhood with good access to transport.
"Apartment with 2 bedrooms in Kirkos, now available. 54 square metres, well laid out. Features a private water tank. Well maintained and secure.",Kirkos,Kirkos,2.0,1.0,54.5,False,25000.0,"Apartment with 2 bedrooms in Kirkos, now available. 54 square metres, well laid out. Features a private water tank. Well maintained and secure."
3-bedroom apartment in Kirkos available for rent. About 107 square metres of living space. Furnished and ready to move in. Close to schools and markets.,Kirkos,Kirkos,3.0,2.0,106.6,False,49500.0,3-bedroom apartment in Kirkos available for rent. About 107 square metres of living space. Furnished and ready to move in. Close to schools and markets.
"Apartment with 5 bedrooms in Yeka, now available. About 150 square metres of living space. Comes with a backup generator. Furnished and ready to move in. Well maintained and secure.",Yeka,Yeka,5.0,2.0,150.0,False,64000.0,"Apartment with 5 bedrooms in Yeka, now available. About 150 square metres of living space. Comes with a backup generator. Furnished and ready to move in. Well maintained and secure."
Rent a 3-bedroom home located in Nifas Silk. About 118 square metres of living space. Features a private water tank. Furnished and ready to move in. Quiet neighbourhood with good access to transport.,Nifas Silk,Nifas Silk,3.0,1.0,117.9,False,43500.0,Rent a 3-bedroom home located in Nifas Silk. About 118 square metres of living space. Features a private water tank. Furnished and ready to move in. Quiet neighbourhood with good access to transport.
